"employment_rate_overall","gross_monthly_mean","category"
97.4,3727,"Accountancy"
97.1,2938,"Accountancy"
93.3,2922,"Accountancy"
97.2,3143,"Accountancy"
94.2,3342,"Accountancy"
95.2,3634,"Accountancy"
98.2,3597,"Accountancy"
96.6,3003,"Accountancy"
93.9,2989,"Accountancy"
100,3407,"Accountancy"
93.6,3420,"Accountancy"
97.4,3903,"Accountancy"
98.6,4438,"Accountancy"
97.3,3240,"Accountancy"
97.6,2983,"Accountancy"
98.6,3587,"Accountancy"
97.3,3427,"Accountancy"
97.7,3701,"Accountancy"
97.3,3063,"Accountancy"
97.4,3893,"Accountancy"
88.6,3020,"Accountancy"
99,3465,"Accountancy"
98.5,3455,"Accountancy"
100,3943,"Accountancy"
97.1,3166,"Accountancy"
97.2,3892,"Accountancy"
97.2,3473,"Accountancy"
100,3744,"Accountancy"
98,3646,"Accountancy"
97.8,4089,"Accountancy"
94.1,3113,"Accountancy"
94.6,3245,"Accountancy"
99.2,4456,"Accountancy"
95.2,3522,"Accountancy"
97.6,3683,"Accountancy"
96.3,3216,"Accountancy"
96.4,3607,"Accountancy"
96.3,4439,"Accountancy"
98.7,2879,"Accountancy"
97.5,3254,"Accountancy"
97.9,4359,"Accountancy"
93.8,4005,"Accountancy"
97.8,4093,"Accountancy"
93.7,3239,"Accountancy"
96.4,3802,"Accountancy"
97.9,4431,"Accountancy"
91.1,2900,"Accountancy"
96,3228,"Accountancy"
97.6,4704,"Accountancy"
90.9,4443,"Accountancy"
96.8,4050,"Accountancy"
97.4,3120,"Accountancy"
94.7,3694,"Accountancy"
96.3,4057,"Accountancy"
94.6,3116,"Accountancy"
97.7,3539,"Accountancy"
99.2,5173,"Accountancy"
100,3515,"Accountancy"
97,4194,"Accountancy"
97.7,3431,"Accountancy"
98.7,3814,"Accountancy"
97.9,4213,"Accountancy"
98.6,3231,"Accountancy"
100,3478,"Education"
100,3506,"Education"
100,3475,"Education"
100,3536,"Education"
97.1,2553,"Education"
100,3604,"Education"
100,3622,"Education"
100,2807,"Education"
100,3525,"Education"
100,3546,"Education"
98,2707,"Education"
100,3701,"Education"
96.4,2890,"Education"
100,3751,"Education"
100,3738,"Education"
100,2911,"Education"
100,3710,"Education"
100,3758,"Education"
100,3682,"Education"
100,3744,"Education"
100,2879,"Education"
100,3718,"Education"
100,3796,"Education"
93,2963,"Education"
92.1,3306,"Science1"
90.7,2883,"Science1"
78.6,3002,"Science1"
86,3262,"Science1"
68.2,2985,"Science1"
100,3478,"Science1"
88.1,3210,"Science1"
92.4,3953,"Science1"
96.8,3025,"Science1"
89.2,2988,"Science1"
86.2,2960,"Science1"
90.9,3169,"Science1"
