employment_rate_overall,gross_monthly_mean,university
97.4,3727,Nanyang Technological University
97.1,2938,Nanyang Technological University
90.9,3214,Nanyang Technological University
87.5,3615,Nanyang Technological University
95.3,3536,Nanyang Technological University
81.3,3166,Nanyang Technological University
87.3,3377,Nanyang Technological University
90.3,3374,Nanyang Technological University
94.8,3182,Nanyang Technological University
92.1,3306,Nanyang Technological University
91,3187,Nanyang Technological University
84,3140,Nanyang Technological University
85.7,3203,Nanyang Technological University
82.5,3096,Nanyang Technological University
91.6,3226,Nanyang Technological University
95.6,3111,Nanyang Technological University
81.6,2638,Nanyang Technological University
85.1,2924,Nanyang Technological University
89.4,2956,Nanyang Technological University
89.9,3148,Nanyang Technological University
82.7,3179,Nanyang Technological University
90.6,2725,Nanyang Technological University
82.4,3061,Nanyang Technological University
74.4,3082,Nanyang Technological University
90.7,2883,Nanyang Technological University
78.6,3002,Nanyang Technological University
79.8,3083,Nanyang Technological University
86,3262,Nanyang Technological University
80.8,3208,Nanyang Technological University
68.2,2985,Nanyang Technological University
100,3478,Nanyang Technological University
100,3506,Nanyang Technological University
84.8,2888,National University of Singapore
86.6,3154,National University of Singapore
88.1,3210,National University of Singapore
88.7,3062,National University of Singapore
94.6,3512,National University of Singapore
93.3,2922,National University of Singapore
97.2,3143,National University of Singapore
88.9,3377,National University of Singapore
92.4,3953,National University of Singapore
88.9,3320,National University of Singapore
84.6,3911,Nanyang Technological University
89.2,3322,National University of Singapore
100,4106,National University of Singapore
82.1,3023,National University of Singapore
96.8,3025,National University of Singapore
89.2,2988,National University of Singapore
74,3068,National University of Singapore
93.2,3359,National University of Singapore
96.1,3154,National University of Singapore
88.9,3653,National University of Singapore
88.5,3334,National University of Singapore
86.2,2960,National University of Singapore
93.8,3208,National University of Singapore
93.9,3397,National University of Singapore
90.9,3169,National University of Singapore
89.1,3319,National University of Singapore
98.8,5099,National University of Singapore
100,4741,National University of Singapore
97.5,2886,National University of Singapore
100,3042,National University of Singapore
97.3,2925,National University of Singapore
80.9,2804,National University of Singapore
83.6,3217,National University of Singapore
96.4,3540,National University of Singapore
94.2,3342,Singapore Management University
95.2,3634,Singapore Management University
