"degree","employment_rate_overall","gross_monthly_mean_income"
"Aerospace Engineering",95.3,3536
"Bioengineering",81.3,3166
"Chemical and Biomolecular Engineering",87.3,3377
"Computer Engineering",90.3,3374
"Civil Engineering",94.8,3182
"Electrical and Electronic Engineering",91,3187
"Environmental Engineering",84,3140
"Information Engineering and Media",85.7,3203
"Materials Engineering",82.5,3096
"Mechanical Engineering",91.6,3226
"Aerospace Engineering",84.6,3911
"Bachelor of Engineering (Bioengineering)",74,3068
"Bachelor of Engineering (Chemical Engineering)",93.2,3359
"Bachelor of Engineering (Civil Engineering)",96.1,3154
"Bachelor of Engineering (Computer Engineering)",88.9,3653
"Bachelor of Engineering (Electrical Engineering)",88.5,3334
"Bachelor of Engineering (Engineering Science)",86.2,2960
"Bachelor of Engineering (Environmental Engineering)",93.8,3208
"Bachelor of Engineering (Industrial and Systems Engineering)",93.9,3397
"Bachelor of Engineering (Materials Science and Engineering)",90.9,3169
"Bachelor of Engineering (Mechanical Engineering)",89.1,3319
"Bioengineering",79.8,3188
"Chemical and Biomolecular Engineering",83.8,3415
"Computer Engineering",91.4,3512
"Civil Engineering",93.8,3152
"Electrical and Electronic Engineering",90.7,3336
"Environmental Engineering",88.9,3111
"Information Engineering and Media",85.7,3318
"Materials Engineering",82.5,3261
"Mechanical Engineering",90.2,3289
"Bachelor of Engineering (Biomedical Engineering) ^^",87.5,3058
"Bachelor of Engineering (Chemical Engineering)",83.9,3434
"Bachelor of Engineering (Civil Engineering)",97.1,3281
"Bachelor of Engineering (Computer Engineering)",95.2,3762
"Bachelor of Engineering (Electrical Engineering)",90.6,3571
"Bachelor of Engineering (Engineering Science)",81.3,3465
"Bachelor of Engineering (Environmental Engineering)",95.2,3215
"Bachelor of Engineering (Industrial and Systems Engineering)",96.5,3719
"Bachelor of Engineering (Materials Science and Engineering)",78.6,3350
"Bachelor of Engineering (Mechanical Engineering)",90,3323
"Bachelor of Engineering with Honours in Chemical Engineering",90.1,3325
"Bachelor of Engineering with Honours in Marine Engineering",92.6,3334
"Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering",97.1,3273
"Bachelor of Engineering with Honours in Naval Architecture",100,3467
"Bachelor of Engineering with Honours in Offshore Engineering",91.3,3467
"Bachelor of Science in Chemical Engineering",86.7,3285
"Bachelor of Science in Electrical Engineering & Information Technology",85.7,3141
"Bachelor of Engineering with Honours in Aeronautical Engineering",88,3415
"Bachelor of Engineering with Honours in Aerospace Systems",85.7,3333
"Bachelor of Engineering with Honours in Mechanical Design Engineering",92.3,3424
"Bachelor of Engineering with Honours in Mechatronics",93,3209
"Aerospace Engineering",86,3724
"Bioengineering",92.6,3197
"Chemical And Biomolecular Engineering",86.8,3373
"Computer Engineering",85.1,3577
"Civil Engineering",95.3,3206
"Electrical And Electronic Engineering",88.6,3446
"Environmental Engineering",89.7,3673
"Information Engineering And Media",87.3,3375
"Materials Engineering",82.9,3397
"Mechanical Engineering",88,3388
"Bachelor of Engineering (Biomedical Engineering)",86.2,3357
"Bachelor of Engineering (Chemical Engineering)",86,3529
"Bachelor of Engineering (Civil Engineering)",96.5,3366
"Bachelor of Engineering (Computer Engineering)",91.8,4252
"Bachelor of Engineering (Electrical Engineering)",92.1,3589
"Bachelor of Engineering (Engineering Science)",82.6,3812
"Bachelor of Engineering (Environmental Engineering)",88.1,3337
"Bachelor of Engineering (Industrial and Systems Engineering)",96.1,3724
"Bachelor of Engineering (Materials Science and Engineering)",100,3391
"Bachelor of Engineering (Mechanical Engineering)",83.3,3422
"Bachelor of Engineering (Engineering Product Development)",92.5,3565
"Bachelor of Engineering (Engineering Systems and Design)",80.3,3763
"Bachelor of Engineering (Information Systems Technology and Design)",86,3952
